video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LJmqUc3tmCQ&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@BingeworthyDocumentaries,BingeWorthy Documentaries,Hyper-Gentrification: Fighting Back in New York | There Goes The Neighborhood | Full Documentary,2.5K,1 year,There Goes The Neighborhood This documentary takes you to the frontlines of the battle for the soul of New York City.,2026-01-21 23:46:10.906926
/shorts/EQFzZhHqbls,/@JullienGordon,Jullien Gordon,How We Lose Our Neighborhoods To Gentrification,8.3K,3 years,All over this country we are losing our communities to gentrification as you can see I'm in what used to be known as the hood and ...,2026-01-21 23:46:10.908207
/shorts/9P4KzccT0k4,/@rolandsmartin,Roland S. Martin,Inglewood's Gentrification: How a New District Prices Out Locals #shorts,5.1K,3 months,"Inglewood is experiencing classic gentrification as new facilities and amenities attract outside interest, driving up property values.",2026-01-21 23:46:10.911592
/watch?v=tAMNPeo7AG0&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@Channel5YouTube,Channel 5 with Andrew Callaghan,Mexico City Gentrification,3.8M,1 year,"Here is our coverage of gentrification in Mexico City, hosted by our new correspondent, Josue. To watch our new episode, ...",2026-01-21 23:46:10.917242
/shorts/KRYP4ea9muk,/@UrbanistAriel,Urbanist,What does Gentrification mean?,21K,1 year,... colonization nowadays it's called gentrification but what does gentrification mean according to the Miriam Webster dictionary the ...,2026-01-21 23:46:10.918661
/watch?v=3s-UoRgl5-M&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@onedownmedia,One Down,The Gentrification Problem in the Philippines,73K,1 year,"As more foreigners choose to move to the Philippines, it raises an important question: Is this rising interest good or bad for the ...",2026-01-21 23:46:10.919831
/shorts/3bZRCcIfWvs,/@pizzaandproperty1246,Pizza and Property,Understanding Gentrification Clearly,1.9K,8 months,Understanding Gentrification Clearly Oliver Cheung breaks down what gentrification really means — and why it's more than just a ...,2026-01-21 23:46:10.922030
/watch?v=6J2ofxe96YQ&pp=ygUOZ2VudHJpZmljYXRpb27SBwkJhwoBhyohjO8%3D,/@tvotoday,TVO Today,What is gentrification?,107K,3 years,"Did you know that the term ""gentrification"" was coined in 1964 by British sociologist Ruth Glass? Learn what it means and how it ...",2026-01-21 23:46:18.959613
/watch?v=Qu2LvWxxx1I&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@tomdnyc1,tomdnyc,How Gentrification Happens: An NYC Tour w/ Professor Sharon Zukin,18K,1 year,Tom Delgado is joined by Professor Sharon Zukin and they take a quick tour of downtown New York City to discuss the process of ...,2026-01-21 23:46:18.962169
/shorts/aPThQIMlADo,/@CNN,CNN,Mexico City residents furious over gentrification,44K,6 months,Mexico City saw its second anti-gentrification protest in less than a month on Sunday with demonstrators furious over rising prices ...,2026-01-21 23:46:18.964779
/watch?v=9dESni_wHfU&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@tvotoday,TVO Today,10 Questions on Gentrification,4.1K,8 years,"Some call it urban renewal, others say it destroys communities. Richard Florida, author of ""The New Urban Crisis: How Our Cities ...",2026-01-21 23:46:18.968195
/watch?v=GFbAjP4Mg40&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@PIX11News,PIX11 News,"Gentrification in Brooklyn: Rising costs, changing neighborhoods",64K,1 year,"While the future of gentrification in Brooklyn remains uncertain, it's clear that the borough will continue to experience ...",2026-01-21 23:46:18.969424
/watch?v=o2ijV7pxlAI&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@ThinkpieceTribe,Thinkpiece Tribe,Gentrification Is Killing Black People,15K,2 months,"If you or someone you know have been diagnosed with bladder cancer or other cancers after prolonged exposure of hair color, ...",2026-01-21 23:46:18.970927
/shorts/q1_qnoISyl4,/@queerbrownvegan,Isaias Hernandez,What is Gentrification? #shorts #gentrification #housing #gentrified #environment #education,326,4 years,What is Gentrification? What are your thoughts? Follow this playlist to learn more environmental justice education: ...,2026-01-21 23:46:18.973568
/shorts/ghQ3z9PzhUg,/@undoctrinationFEE,Undoctrination,How hipsters got blamed for gentrification,1.5K,6 months,Watch full video here: https://youtu.be/FDdQmC-43t8.,2026-01-21 23:46:18.974784
/watch?v=In6JMOx47DE&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@PBSNewsHour,PBS NewsHour,How 'green gentrification' is pricing out longtime East Boston residents,90K,3 years,The city of Boston faces two enormous problems: Sea level rise in its harbor that is getting worse with climate change and a dearth ...,2026-01-21 23:46:18.978028
/watch?v=9bWtZFs_xtc&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@newschannel5,NewsChannel 5,Gentrification surrounds a North Nashville woman who's committed to staying,81K,1 year,Marcia Jordan's home sits in between eight new builds. There used to be just one home on either side of her home. She said ...,2026-01-21 23:46:18.980598
